"t (s)","Tilt up/down (deg)","Tilt left/right (deg)"
2.253884037E2,2.861263668E1,5.926937807E0
2.258864211E2,2.896984289E1,5.859078000E0
2.263844651E2,2.944671956E1,5.624128320E0
2.268825279E2,2.981120624E1,5.587750945E0
2.273804879E2,3.051856839E1,5.550413689E0
2.278786787E2,3.151063758E1,5.632243293E0
2.283768593E2,3.222305710E1,5.900647369E0
2.288747622E2,3.305573169E1,5.735153208E0
2.293726541E2,2.235753143E1,6.884619221E0
2.298706884E2,2.620876563E0,4.631363928E0
2.303685119E2,9.797603118E-1,6.283582983E0
2.308662726E2,9.581030246E-1,5.447625192E0
2.313641456E2,9.479163669E-1,5.223539048E0
2.318620985E2,9.931510922E-1,5.652398758E0
2.323598178E2,9.693908652E-1,6.160899187E0
2.328574956E2,1.007679944E0,6.686885964E0
2.333551714E2,9.804073281E-1,6.294498076E0
2.338531360E2,1.013158303E0,5.213319802E0
2.343510312E2,1.036510846E0,4.183666994E0
2.348490113E2,1.023214150E0,4.526830969E0
2.353470854E2,1.026708524E0,4.608998314E0
2.358450527E2,9.709060221E-1,4.456220754E0
2.363429105E2,4.839024994E0,4.395024898E0
2.368407612E2,1.192904024E1,4.097502153E0
2.373385483E2,2.086824186E1,5.237932806E0
2.378364250E2,2.413779652E1,5.394006151E0
2.383344220E2,2.540055033E1,5.449779888E0
2.388325490E2,2.623570748E1,5.257138660E0
2.393305324E2,2.699646943E1,5.272028820E0
2.398283033E2,2.774249922E1,5.882214770E0
2.403260424E2,2.827559212E1,6.183822635E0
2.408240530E2,2.885322524E1,6.120452879E0
2.413220748E2,2.931986501E1,6.104456985E0
2.418202082E2,2.977870422E1,6.258710816E0
2.423183500E2,3.024711558E1,6.213281232E0
2.428166180E2,3.082454490E1,6.144390552E0
2.433147519E2,3.106657198E1,6.108763863E0
2.438129074E2,3.163497328E1,5.901223135E0
2.443108217E2,3.179879473E1,5.848688990E0
2.448089332E2,3.205340946E1,5.788183658E0
2.453070368E2,3.234005655E1,5.825120423E0
2.458051798E2,3.282734295E1,5.757956597E0
2.463032430E2,3.332940734E1,5.628693818E0
2.468014797E2,3.443005305E1,5.647435948E0
2.472994611E2,1.971368522E1,6.291604551E0
2.477976117E2,2.322217994E0,3.805732576E0
2.482958517E2,1.009361549E0,3.292586405E0
2.487939604E2,9.920207106E-1,3.904066054E0
2.492921112E2,9.991838765E-1,4.134177652E0
2.497902548E2,1.005567516E0,4.466679096E0
2.502883179E2,9.881744021E-1,4.356455007E0
