"t (s)","Tilt up/down (deg)","Tilt left/right (deg)"
7.547968358E1,2.797713125E1,2.180872955E0
7.597807514E1,1.862912647E1,4.224430932E-1
7.647646853E1,1.829140954E1,9.165104819E-1
7.697464608E1,1.837984942E1,6.335938769E-1
7.797104389E1,1.849216837E1,1.831717627E0
7.846914389E1,1.847597852E1,1.846102198E0
7.896721816E1,1.845763202E1,1.166494956E0
7.946541134E1,1.822120037E1,1.153522846E0
7.996348264E1,1.820063154E1,1.088991820E0
8.046154348E1,1.814658862E1,1.092448013E0
8.095955665E1,1.802364164E1,1.012263663E0
8.145801327E1,1.805369580E1,1.095491133E0
8.195636822E1,1.794990706E1,1.220708049E0
8.245461728E1,1.792419341E1,2.954579967E0
8.295259822E1,1.820409230E1,2.633999972E0
8.345063650E1,1.893394756E1,2.689504827E0
8.394864811E1,2.036994802E1,2.629637890E0
8.444669426E1,2.192667383E1,2.561746200E0
8.494468301E1,2.346357523E1,2.689346518E0
8.544269759E1,2.367545901E1,2.500540346E0
8.594072644E1,2.427267370E1,2.575246704E0
8.643893618E1,2.479989431E1,2.532398372E0
8.693723129E1,2.536758879E1,2.708197353E0
8.743544863E1,2.557747497E1,2.559718586E0
8.793361431E1,2.592639074E1,2.601702678E0
8.843178993E1,2.634712165E1,2.052597426E0
8.892976592E1,2.483347243E1,5.921346073E-1
8.942770337E1,2.213976143E1,6.679066949E-1
8.992567498E1,2.059680184E1,1.214298993E0
9.042380598E1,2.100296574E1,1.425246854E0
9.092184290E1,2.130635606E1,9.085664765E-1
9.141996618E1,2.137974608E1,6.343529111E-1
9.191808025E1,2.127558961E1,6.882484613E-1
9.241625603E1,2.119314930E1,8.846089894E-1
9.291430129E1,2.166543626E1,6.810962551E-1
9.341227837E1,2.033750777E1,6.564758693E-2
9.391038056E1,1.888642686E1,-1.877123074E-1
9.440864233E1,1.859698506E1,-1.153338704E-1
9.490678108E1,1.830202723E1,-1.259799660E-1
9.540493962E1,1.853102962E1,2.304348629E-1
9.590305488E1,2.007621631E1,5.819782664E-2
9.640130999E1,2.097996774E1,7.889268093E-1
9.689945598E1,2.242471054E1,1.004632516E0
9.739754322E1,2.328321173E1,7.757750037E-1
9.789571618E1,2.436796762E1,-5.620538136E-2
9.839390879E1,2.569994361E1,-3.443945626E-2
9.889216900E1,2.210719991E1,-1.820497636E0
9.939029314E1,2.114398934E1,-1.432279278E0
9.988854887E1,2.111188834E1,-1.253248343E0
1.003867882E2,2.099259478E1,-9.043831332E-1
1.008849848E2,2.095013920E1,-9.625868346E-1
1.013833598E2,2.092337569E1,-9.954569831E-1
1.018816319E2,2.080922139E1,-1.219108754E0
1.023799674E2,1.959244633E1,-9.212962385E-1
1.028780922E2,1.881824619E1,-3.246423844E-2
1.033761637E2,1.863937115E1,-5.703039207E-1
1.038742012E2,1.833872980E1,-1.069579474E0
1.043723910E2,1.847601764E1,-4.540039723E-1
1.048705733E2,1.867146086E1,8.542904937E-1
1.053687101E2,1.887537842E1,5.808024961E-1
1.058667871E2,2.053247664E1,5.903942125E-1
1.063648715E2,2.285866928E1,6.522816161E-1
1.068629328E2,2.408583935E1,4.560241033E-1
1.073609100E2,2.494829142E1,3.497729800E-1
1.078591513E2,2.630414919E1,-2.338113217E-1
1.083573488E2,1.553020175E1,-5.888716478E0
1.088554616E2,1.473568931E1,-3.998973580E0
1.093535635E2,1.504688823E1,1.232586519E0
1.098517419E2,1.491093837E1,9.479451431E-1
1.103498866E2,1.494375456E1,3.008832585E-1
1.108480526E2,1.491930519E1,1.167494958E-1
